crop,node,year,time,value
wheat,8|INDIA_WEST,2020,11,1.19762162432332
wheat,8|INDIA_WEST,2020,12,1.31646689820054
wheat,8|INDIA_WEST,2030,1,2.3705003275672
wheat,8|INDIA_WEST,2030,2,4.22490790253369
wheat,8|INDIA_WEST,2030,3,8.53273000906709
wheat,8|INDIA_WEST,2030,4,8.30963084320314
wheat,8|INDIA_WEST,2030,5,5.30279587422674
wheat,8|INDIA_WEST,2030,11,1.19762162432332
wheat,8|INDIA_WEST,2030,12,1.31646689820054
wheat,8|INDIA_WEST,2040,1,2.3705003275672
wheat,8|INDIA_WEST,2040,2,4.22490790253369
wheat,8|INDIA_WEST,2040,3,8.53273000906709
wheat,8|INDIA_WEST,2040,4,8.30963084320314
wheat,8|INDIA_WEST,2040,5,5.30279587422674
wheat,8|INDIA_WEST,2040,11,1.19762162432332
wheat,8|INDIA_WEST,2040,12,1.31646689820054
wheat,8|INDIA_WEST,2050,1,2.3705003275672
wheat,8|INDIA_WEST,2050,2,4.22490790253369
wheat,8|INDIA_WEST,2050,3,8.53273000906709
wheat,8|INDIA_WEST,2050,4,8.30963084320314
wheat,8|INDIA_WEST,2050,5,5.30279587422674
wheat,8|INDIA_WEST,2050,11,1.19762162432332
wheat,8|INDIA_WEST,2050,12,1.31646689820054
wheat,8|INDIA_WEST,2060,1,2.3705003275672
wheat,8|INDIA_WEST,2060,2,4.22490790253369
wheat,8|INDIA_WEST,2060,3,8.53273000906709
wheat,8|INDIA_WEST,2060,4,8.30963084320314
wheat,8|INDIA_WEST,2060,5,5.30279587422674
wheat,8|INDIA_WEST,2060,11,1.19762162432332
wheat,8|INDIA_WEST,2060,12,1.31646689820054
wheat,9|INDIA_EAST,2010,1,11.0738232600634
wheat,9|INDIA_EAST,2010,2,18.8924642424087
wheat,9|INDIA_EAST,2010,3,31.3306210284279
wheat,9|INDIA_EAST,2010,4,27.5802715457026
wheat,9|INDIA_EAST,2010,5,16.507706323205
