model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction,MCM/yr,2030,123.69895465174187
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction,MCM/yr,2035,154.2783964264963
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction,MCM/yr,2040,184.01549278007627
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction,MCM/yr,2045,192.7620585510939
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction,MCM/yr,2050,355.0269953448426
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction,MCM/yr,2055,201.71485815310658
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction,MCM/yr,2060,202.23111827517
MESSAGEix-Pakistan 1,LTS_nexus_debug,B9|INDIA_EAST,Water Extraction,MCM/yr,2070,219.00057491898605
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,104.85666528965069
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,104.4264458802841
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,102.0732831209898
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,102.11249012500059
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,101.57661655296869
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,100.45387203902149
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,103.2843840413261
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,103.6679066244204
MESSAGEix-Pakistan 1,LTS_nexus_debug,B16|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,102.94822245836271
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,16.8114047435407
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,16.1333076165116
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,16.4922706498403
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,16.4294125977903
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,16.224388917907998
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,16.5883331249157
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,15.8672914359097
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,15.6749185795585
MESSAGEix-Pakistan 1,LTS_nexus_debug,B17|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,15.6949379093324
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2030,2.261272445801959e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2035,2.7744469279023305e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2040,3.734807784349278e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2045,4.5243276792089595e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2050,4.6614905676028745e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2055,4.3965847986539166e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2060,3.1170356334815145e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B1|AFGHAN_SOUTH,Water Extraction|Groundwater,MCM/yr,2070,3.5221470553829314e-05
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,21.613939184074603
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,22.4306237888716
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,23.8578058154303
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,27.228218926272
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,28.2560671743219
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,27.9490763953314
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2055,27.8676507847073
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2060,26.2775277346372
MESSAGEix-Pakistan 1,LTS_nexus_debug,B20|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2070,25.4540673550218
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2025,8.239706827225701
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2030,11.0538919060672
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2035,14.0320576950405
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2040,17.5721686861652
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2045,19.5116225319604
MESSAGEix-Pakistan 1,LTS_nexus_debug,B21|PAKISTAN,Water Extraction|Groundwater,MCM/yr,2050,18.4379759954269
