model,scenario,region,variable,unit,year,value
MESSAGEix-Pakistan 1,LTS_nexus,B1|AFGHAN_SOUTH,Water Extraction,MCM/yr,2070,159.51043302488048
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction,MCM/yr,2025,266.77078205195676
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction,MCM/yr,2030,299.9928023927371
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction,MCM/yr,2035,393.38574367362475
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction,MCM/yr,2040,484.8243777932036
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction,MCM/yr,2045,601.6413556182748
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction,MCM/yr,2050,716.2083045222165
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction,MCM/yr,2055,886.8535516197577
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction,MCM/yr,2060,1055.9492887512295
MESSAGEix-Pakistan 1,LTS_nexus,B20|PAKISTAN,Water Extraction,MCM/yr,2070,1360.525208897909
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction,MCM/yr,2025,189.85850466180094
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction,MCM/yr,2030,234.92884754736394
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction,MCM/yr,2035,265.79521984798447
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction,MCM/yr,2040,294.9547106115832
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction,MCM/yr,2045,329.0891220586742
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction,MCM/yr,2050,360.97354089236217
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction,MCM/yr,2055,578.138225
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction,MCM/yr,2060,793.6531379189773
MESSAGEix-Pakistan 1,LTS_nexus,B21|PAKISTAN,Water Extraction,MCM/yr,2070,1029.0362922150694
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction,MCM/yr,2025,508.19894531269495
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction,MCM/yr,2030,672.4259897627668
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction,MCM/yr,2035,893.3747364016338
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction,MCM/yr,2040,1110.2392454548892
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction,MCM/yr,2045,1347.695139436572
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction,MCM/yr,2050,1580.9266850788506
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction,MCM/yr,2055,1730.2721583667922
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction,MCM/yr,2060,1876.352588654219
MESSAGEix-Pakistan 1,LTS_nexus,B22|PAKISTAN,Water Extraction,MCM/yr,2070,2309.7330765886927
