"scenario","model","node","time","tec","value"
"historical","ensemble","PAK_11","4","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","5","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","6","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","7","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","8","irrigation_sw_diversion",0
"historical","ensemble","PAK_11","9","irrigation_sw_diversion",0
"historical","ensemble","PAK_12","1","irrigation_sw_diversion",11.5654402788379
"historical","ensemble","PAK_12","10","irrigation_sw_diversion",11.9335222013237
"historical","ensemble","PAK_12","11","irrigation_sw_diversion",8.32355804749278
"historical","ensemble","PAK_12","12","irrigation_sw_diversion",5.68945215306821
"historical","ensemble","PAK_12","2","irrigation_sw_diversion",17.7271817043414
"historical","ensemble","PAK_12","3","irrigation_sw_diversion",24.9664294442582
"historical","ensemble","PAK_12","4","irrigation_sw_diversion",24.3742130335129
"historical","ensemble","PAK_12","5","irrigation_sw_diversion",24.5987934546058
"historical","ensemble","PAK_12","6","irrigation_sw_diversion",27.6643958495634
"historical","ensemble","PAK_12","7","irrigation_sw_diversion",31.7511178184928
"historical","ensemble","PAK_12","8","irrigation_sw_diversion",29.9033034856929
"historical","ensemble","PAK_12","9","irrigation_sw_diversion",21.7501202461883
"historical","ensemble","PAK_2","1","irrigation_sw_diversion",5.87109671150224
"historical","ensemble","PAK_2","10","irrigation_sw_diversion",6.26080927505716
"historical","ensemble","PAK_2","11","irrigation_sw_diversion",3.85235316127082
"historical","ensemble","PAK_2","12","irrigation_sw_diversion",2.74842476749092
"historical","ensemble","PAK_2","2","irrigation_sw_diversion",10.2194397298752
"historical","ensemble","PAK_2","3","irrigation_sw_diversion",15.7976910490817
"historical","ensemble","PAK_2","4","irrigation_sw_diversion",15.9395110933489
"historical","ensemble","PAK_2","5","irrigation_sw_diversion",14.9374361746897
"historical","ensemble","PAK_2","6","irrigation_sw_diversion",18.4724411756714
"historical","ensemble","PAK_2","7","irrigation_sw_diversion",19.3953501078278
"historical","ensemble","PAK_2","8","irrigation_sw_diversion",17.5858356302479
"historical","ensemble","PAK_2","9","irrigation_sw_diversion",13.1035420328195
"historical","ensemble","PAK_3","1","irrigation_sw_diversion",13.2579869885724
"historical","ensemble","PAK_3","10","irrigation_sw_diversion",12.9272300830818
"historical","ensemble","PAK_3","11","irrigation_sw_diversion",8.04365638006539
"historical","ensemble","PAK_3","12","irrigation_sw_diversion",5.90012821536352
"historical","ensemble","PAK_3","2","irrigation_sw_diversion",22.7416345252264
"historical","ensemble","PAK_3","3","irrigation_sw_diversion",30.9199928764707
"historical","ensemble","PAK_3","4","irrigation_sw_diversion",28.4918542229294
"historical","ensemble","PAK_3","5","irrigation_sw_diversion",25.1291067211032
"historical","ensemble","PAK_3","6","irrigation_sw_diversion",30.5431550426628
"historical","ensemble","PAK_3","7","irrigation_sw_diversion",38.3523294753888
"historical","ensemble","PAK_3","8","irrigation_sw_diversion",38.6382532073616
"historical","ensemble","PAK_3","9","irrigation_sw_diversion",26.8547807432664
"historical","ensemble","PAK_4","1","irrigation_sw_diversion",44.2105337834936
"historical","ensemble","PAK_4","10","irrigation_sw_diversion",30.1719852326055
"historical","ensemble","PAK_4","11","irrigation_sw_diversion",23.6200626118168
"historical","ensemble","PAK_4","12","irrigation_sw_diversion",22.8311251956442
"historical","ensemble","PAK_4","2","irrigation_sw_diversion",62.8942356189574
"historical","ensemble","PAK_4","3","irrigation_sw_diversion",81.1728512716793
"historical","ensemble","PAK_4","4","irrigation_sw_diversion",74.8940328591805
"historical","ensemble","PAK_4","5","irrigation_sw_diversion",61.4621275810006
"historical","ensemble","PAK_4","6","irrigation_sw_diversion",73.8847929343536
"historical","ensemble","PAK_4","7","irrigation_sw_diversion",92.7824709099226
"historical","ensemble","PAK_4","8","irrigation_sw_diversion",88.842606414192
"historical","ensemble","PAK_4","9","irrigation_sw_diversion",62.7608981585905
"historical","ensemble","PAK_5","1","irrigation_sw_diversion",23.2892800118401
"historical","ensemble","PAK_5","10","irrigation_sw_diversion",17.7387691279372
"historical","ensemble","PAK_5","11","irrigation_sw_diversion",14.3713561312484
"historical","ensemble","PAK_5","12","irrigation_sw_diversion",11.9152541690582
"historical","ensemble","PAK_5","2","irrigation_sw_diversion",38.1211481278056
"historical","ensemble","PAK_5","3","irrigation_sw_diversion",45.6827759391937
"historical","ensemble","PAK_5","4","irrigation_sw_diversion",43.9478668264793
"historical","ensemble","PAK_5","5","irrigation_sw_diversion",39.0345467031209
"historical","ensemble","PAK_5","6","irrigation_sw_diversion",40.5826965401438
"historical","ensemble","PAK_5","7","irrigation_sw_diversion",44.4986885267872
"historical","ensemble","PAK_5","8","irrigation_sw_diversion",43.0210501561101
"historical","ensemble","PAK_5","9","irrigation_sw_diversion",33.1588110674209
"historical","ensemble","PAK_6","1","irrigation_sw_diversion",17.479482546312
"historical","ensemble","PAK_6","10","irrigation_sw_diversion",24.841768129608
"historical","ensemble","PAK_6","11","irrigation_sw_diversion",18.3502104177941
"historical","ensemble","PAK_6","12","irrigation_sw_diversion",12.3538656626707
"historical","ensemble","PAK_6","2","irrigation_sw_diversion",30.2934111071958
"historical","ensemble","PAK_6","3","irrigation_sw_diversion",36.6713059495587
"historical","ensemble","PAK_6","4","irrigation_sw_diversion",45.9028043642507
"historical","ensemble","PAK_6","5","irrigation_sw_diversion",48.1052574224764
